m,threshold
0.05292010134340166,0.3333333333333333
0.08488324527540005,0.3333333333333333
0.1340395548534804,0.6666666666666666
0.1961400616969576,0.6666666666666666
0.27479884407405347,0.6666666666666666
0.3713887605197359,1.0
0.48760579885818656,1.0
0.596175764847097,1.0
0.7112047715998617,1.1666666666666665
0.826661597507563,1.6666666666666667
1.0396243613235117,1.6666666666666667
1.1997798931018602,2.0
1.362432156476855,2.0
1.4678224040446182,2.5
1.648151420480904,2.6666666666666665
1.9550854456583058,3.0
2.097691244302947,3.25
2.323971731026445,3.6666666666666665
2.439978301666839,3.833333333333333
2.894837364905665,4.333333333333333
3.30762153005456,4.6
3.701314849779518,4.666666666666667
4.526237819805982,5.8666666666666725
5.293480469560459,7.0
