scenario,arm,day,eligible_mean,eligible_ci,delivered_mean,delivered_ci,n,cross_rate,tie_rate,threshold_med,oracle_med,tracking_ratio_med,observed_mssd_med,n_eval
drift,emq_anchored,0,0.242,0.02168191016844153,0.11266666666666666,0.016006499887945905,1500,0.3911637931034483,0.11853448275862069,0.8666666666666667,1.104670233506307,0.616608316725274,0.6666666666666666,928
drift,emq_anchored,1,0.912,0.058752531725596496,0.4593333333333333,0.037395909175963075,1500,0.26786061903834923,0.15008759976640063,1.0,1.1105000953196877,0.7552346676170865,0.6666666666666666,5137
drift,emq_anchored,2,0.902,0.060756984151196694,0.44866666666666666,0.038885964409199156,1500,0.24405506883604505,0.1113892365456821,1.0,1.0875058712161174,0.9333333333333336,0.6666666666666666,5593
drift,emq_anchored,3,0.7393333333333333,0.056811299551207756,0.35533333333333333,0.035063673659019766,1500,0.20143240823634737,0.10635631154879141,1.0,1.078423734493694,1.0,0.6666666666666666,5585
drift,emq_anchored,4,0.7013333333333334,0.05673784255444776,0.364,0.03558719321504663,1500,0.19384783400072805,0.09992719330178376,1.0,1.0841003458040879,1.0,0.6666666666666666,5494
drift,emq_anchored,5,0.7586666666666667,0.05866891602617698,0.37333333333333335,0.03605644706966049,1500,0.20527807297201559,0.09971661353170386,1.0,1.089184008713183,1.0,0.6666666666666666,5646
drift,emq_anchored,6,0.708,0.05694683969468295,0.3406666666666667,0.03548294031104092,1500,0.19635369188696444,0.09279854147675479,1.0,1.0762703313930415,1.0,0.6666666666666666,5485
drift,emq_anchored,7,0.7126666666666667,0.05876380394583277,0.3373333333333333,0.03490989790488223,1500,0.19351951306838525,0.07178660938059435,1.1633333333333336,1.1460722552448945,1.0,0.6666666666666666,5586
drift,emq_anchored,8,0.7953333333333333,0.06077910158568827,0.41733333333333333,0.038791429760637965,1500,0.2150936726758572,0.04577589254153411,1.215839382716307,1.1300315406081376,1.0,0.6666666666666666,5658
drift,emq_anchored,9,0.728,0.05803040233759923,0.3506666666666667,0.03549810443803929,1500,0.19996380745566414,0.045783568584871516,1.2800000000000002,1.1244980365985788,1.0,0.6666666666666666,5526
drift,emq_anchored,10,0.7686666666666667,0.06148562269680414,0.392,0.03840977845995884,1500,0.20635199157746972,0.03597122302158273,1.2518425407249567,1.1196957787598347,1.0,0.6666666666666666,5699
drift,emq_anchored,11,0.7593333333333333,0.06178212030647227,0.36733333333333335,0.03703045281678946,1500,0.20263477205754896,0.037961518460738426,1.3166666666666669,1.1024047583033343,1.0,0.6666666666666666,5769
drift,emq_anchored,12,0.7766666666666666,0.05995859031091168,0.386,0.03630607323563671,1500,0.2058874458874459,0.03428571428571429,1.3386181524932337,1.1112614557672678,1.0,0.6666666666666666,5775
drift,emq_anchored,13,0.7713333333333333,0.060134772170403715,0.37733333333333335,0.03716470218764262,1500,0.20633245382585752,0.031310466138962184,1.35,1.0815071141555015,1.0,0.6666666666666666,5685
